Date,Time,Home,Away,Field
10-Apr,2:30,D' backs,Giants,Hillcrest Park
10-Apr,2:30,Reds,Rockies,Trafalgar Park
10-Apr,5:30,Pirates,Rangers,Hillcrest Park
10-Apr,11:30,A's,Blue Jays,Hillcrest Park
11-Apr,5:30,Tigers,Yankees,Hillcrest Park
12-Apr,5:30,A's,D' backs,Trafalgar Park
13-Apr,5:30,Blue Jays,Giants,Hillcrest Park
14-Apr,5:30,Pirates,Yankees,Trafalgar Park
15-Apr,5:30,Rangers,Reds,Hillcrest Park
16-Apr,2:30,Yankees,A's,Hillcrest Park
16-Apr,2:30,Blue Jays,D' backs,Trafalgar Park
16-Apr,5:30,Giants,Pirates,Hillcrest Park
16-Apr,11:30,Tigers,Rockies,Hillcrest Park
18-Apr,5:30,Rangers,Tigers,Hillcrest Park
19-Apr,5:30,Reds,A's,Trafalgar Park
20-Apr,5:30,Rockies,Blue Jays,Hillcrest Park
21-Apr,5:30,D' backs,Pirates,Trafalgar Park
22-Apr,5:30,Rangers,Yankees,Hillcrest Park
23-Apr,5:30,Giants,Tigers,Hillcrest Park
24-Apr,2:30,Reds,Blue Jays,Hillcrest Park
24-Apr,5:30,Rockies,A's,Hillcrest Park
25-Apr,5:30,D' backs,Rangers,Hillcrest Park
26-Apr,5:30,Giants,Rockies,Trafalgar Park
27-Apr,5:30,Yankees,Reds,Hillcrest Park
28-Apr,5:30,Pirates,Tigers,Trafalgar Park
29-Apr,5:30,A's,Rangers,Hillcrest Park
30-Apr,5:30,Blue Jays,Yankees,Hillcrest Park
1-May,2:30,Rockies,Pirates,Hillcrest Park
1-May,5:30,Giants,Reds,Hillcrest Park
1-May,11:30,Tigers,D' backs,Hillcrest Park
2-May,6:00,Rangers,Blue Jays,Hillcrest Park
3-May,6:00,A's,Pirates,Trafalgar Park
4-May,6:00,D' backs,Yankees,Hillcrest Park
5-May,6:00,Rangers,Giants,Trafalgar Park
6-May,6:00,Reds,Tigers,Hillcrest Park
7-May,3:00,Rockies,D' backs,Trafalgar Park
7-May,6:00,A's,Giants,Hillcrest Park
7-May,11:00,Blue Jays,Pirates,Hillcrest Park
9-May,6:00,Reds,D' backs,Hillcrest Park
10-May,6:00,Rockies,Rangers,Trafalgar Park
11-May,6:00,Tigers,A's,Hillcrest Park
12-May,6:00,Yankees,Giants,Trafalgar Park
13-May,6:00,Tigers,Blue Jays,Hillcrest Park
14-May,3:00,Yankees,Rockies,Hillcrest Park
14-May,6:00,Giants,D' backs,Hillcrest Park
14-May,12:00,Pirates,Reds,Hillcrest Park
15-May,3:00,Tigers,Pirates,Hillcrest Park
15-May,12:00,Blue Jays,A's,Hillcrest Park
16-May,6:00,Reds,Rangers,Hillcrest Park
17-May,6:00,Yankees,Rockies,Trafalgar Park
18-May,6:00,Giants,Blue Jays,Hillcrest Park
19-May,6:00,Rangers,Pirates,Trafalgar Park
20-May,6:00,D' backs,A's,Hillcrest Park
21-May,3:00,Rockies,Reds,Hillcrest Park
21-May,12:00,Yankees,Tigers,Hillcrest Park
22-May,3:00,D' backs,Blue Jays,Hillcrest Park
22-May,6:00,Rangers,A's,Hillcrest Park
22-May,12:00,Pirates,Giants,Hillcrest Park
23-May,6:00,Rockies,Tigers,Hillcrest Park
24-May,6:00,Yankees,Pirates,Trafalgar Park
25-May,6:00,A's,Reds,Hillcrest Park
26-May,6:00,Blue Jays,Rockies,Trafalgar Park
27-May,6:00,Tigers,Rangers,Hillcrest Park
28-May,3:00,Pirates,D' backs,Hillcrest Park
28-May,6:00,Rockies,Giants,Hillcrest Park
28-May,12:00,Reds,Yankees,Hillcrest Park
29-May,3:00,Blue Jays,Rangers,Hillcrest Park
29-May,12:00,A's,Tigers,Hillcrest Park
30-May,6:00,Giants,Yankees,Hillcrest Park
1-Jun,6:00,D' backs,Reds,Hillcrest Park
